"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,57479.350221,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,58495.572023,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,60098.509912,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,64876.683301,,
"FIN","Finland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2015","2015","USD","US Dollar","0","Units",,,42490.211049,,
"FIN","Finland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,44934.488245,,
"FIN","Finland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,47570.270354,,
"FIN","Finland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,49573.255773,,
"FIN","Finland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,50322.84765,,
"FIN","Finland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,50924.767502,,
"FIN","Finland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,54681.714503,,
"FRA","France","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2015","2015","USD","US Dollar","0","Units",,,40829.893311,,
"FRA","France","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,42855.944562,,
"FRA","France","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,44445.59677,,
"FRA","France","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,46336.933985,,
"FRA","France","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,48700.802342,"P","Provisional value"
"FRA","France","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,46713.800171,"P","Provisional value"
"FRA","France","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,50543.711372,"P","Provisional value"
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2015","2015","USD","US Dollar","0","Units",,,47609.557159,,
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,50579.483717,,
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,53071.478374,,
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,55235.247726,"P","Provisional value"
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,55652.877823,"P","Provisional value"
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,54844.447231,"P","Provisional value"
"DEU","Germany","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,57880.471333,"P","Provisional value"
"GRC","Greece","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2015","2015","USD","US Dollar","0","Units",,,26760.152201,,
"GRC","Greece","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,27511.777671,,
"GRC","Greece","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,28604.794575,,
"GRC","Greece","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,29617.499309,,
"GRC","Greece","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,30356.302549,"P","Provisional value"
"GRC","Greece","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,27923.999993,"P","Provisional value"
"GRC","Greece","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,31281.571731,"P","Provisional value"
"SVK","Slovak Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2015","2015","USD","US Dollar","0","Units",,,29972.9225,,
"SVK","Slovak Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,29645.701303,,
"SVK","Slovak Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,30066.187534,,
"SVK","Slovak Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,31218.960027,,
"SVK","Slovak Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,31971.867433,,
"SVK","Slovak Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,31346.275873,,
"SVK","Slovak Republic","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,32986.812105,,
"ESP","Spain","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2015","2015","USD","US Dollar","0","Units",,,34929.20969,,
"ESP","Spain","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,37313.634913,,
"ESP","Spain","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,39580.188366,,
"ESP","Spain","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,40756.445269,,
"ESP","Spain","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,41721.222195,"P","Provisional value"
"ESP","Spain","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,37764.086581,"P","Provisional value"
"ESP","Spain","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,40775.352596,"P","Provisional value"
"CHE","Switzerland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2015","2015","USD","US Dollar","0","Units",,,66020.20952,,
"CHE","Switzerland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,68105.138178,,
"CHE","Switzerland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,69103.567686,,
"CHE","Switzerland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,71660.23286,,
"CHE","Switzerland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,72033.948683,,
"CHE","Switzerland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,71731.951611,,
"CHE","Switzerland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,77235.961977,"P","Provisional value"
"GBR","United Kingdom","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2015","2015","USD","US Dollar","0","Units",,,42916.969653,,
"GBR","United Kingdom","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,44610.565649,,
"GBR","United Kingdom","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,46385.63354,,
"GBR","United Kingdom","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,47590.888987,,
"GBR","United Kingdom","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,49070.333125,,
"GBR","United Kingdom","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,46526.879586,,
"GBR","United Kingdom","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,49524.925097,,
"CHN","China (People's Republic of)","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2015","2015","USD","US Dollar","0","Units",,,12865.800384,,
"CHN","China (People's Republic of)","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,13439.508987,,
"CHN","China (People's Republic of)","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,14203.909059,,
"CHN","China (People's Republic of)","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,15466.329982,,
"CHN","China (People's Republic of)","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,16697.82748,,
"CHN","China (People's Republic of)","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,17217.860325,,
"COL","Colombia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2015","2015","USD","US Dollar","0","Units",,,13330.562044,,
"COL","Colombia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,14054.69606,,
"COL","Colombia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,14479.812544,,
"COL","Colombia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,15439.041412,,
"COL","Colombia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,16130.847299,,
"COL","Colombia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,15306.341722,"P","Provisional value"
"COL","Colombia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,17341.848136,"E","Estimated value"
"PRT","Portugal","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2015","2015","USD","US Dollar","0","Units",,,29660.845901,,
"PRT","Portugal","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,31607.610185,,
"PRT","Portugal","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,33044.70015,,
"PRT","Portugal","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,34928.61899,,
"PRT","Portugal","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,36171.964841,,
"PRT","Portugal","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,34177.019943,"P","Provisional value"
"PRT","Portugal","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,35914.440547,"P","Provisional value"
"POL","Poland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2015","2015","USD","US Dollar","0","Units",,,26534.723216,,
"POL","Poland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,27985.340009,,
"POL","Poland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,29714.590984,,
"POL","Poland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,31588.493559,,
"POL","Poland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,33427.503432,,
"POL","Poland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,34059.98442,,
"POL","Poland","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,37400.262349,,
"KOR","Korea","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2015","2015","USD","US Dollar","0","Units",,,37902.361018,,
"KOR","Korea","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,39575.302078,,
"KOR","Korea","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,40957.347064,,
"KOR","Korea","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,43025.990397,,
"KOR","Korea","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,43044.8068,,
"KOR","Korea","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,45274.090605,"P","Provisional value"
"KOR","Korea","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,46731.416375,"E","Estimated value"
"ITA","Italy","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2015","2015","USD","US Dollar","0","Units",,,37206.331822,,
"ITA","Italy","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,40267.222623,,
"ITA","Italy","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,41951.466331,,
"ITA","Italy","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,43427.663143,,
"ITA","Italy","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,44376.174443,,
"ITA","Italy","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,41995.337395,,
"ITA","Italy","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,45902.22894,,
"EST","Estonia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2015","2015","USD","US Dollar","0","Units",,,29222.748082,,
"EST","Estonia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,31310.152103,,
"EST","Estonia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,33867.803542,,
"EST","Estonia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,36327.527923,,
"EST","Estonia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,37909.467474,,
"EST","Estonia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,37659.452305,,
"EST","Estonia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,42185.012177,,
"CHL","Chile","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2015","2015","USD","US Dollar","0","Units",,,22694.196094,,
"CHL","Chile","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,23482.692919,,
"CHL","Chile","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,24525.456347,,
"CHL","Chile","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,25679.541086,,
"CHL","Chile","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,25189.926179,,
"CHL","Chile","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,24689.386781,,
"OECD","OECD - Total","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2015","2015","USD","US Dollar","0","Units",,,40470.003933,,
"OECD","OECD - Total","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,41889.107871,,
"OECD","OECD - Total","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,43489.31381,,
"OECD","OECD - Total","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,45188.663062,"P","Provisional value"
"OECD","OECD - Total","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,46107.358259,"P","Provisional value"
"OECD","OECD - Total","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2020","2020","USD","US Dollar","0","Units",,,45032.874492,"E","Estimated value"
"OECD","OECD - Total","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2021","2021","USD","US Dollar","0","Units",,,48750.09458,"E","Estimated value"
"IND","India","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2015","2015","USD","US Dollar","0","Units",,,5580.513112,,
"IND","India","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,5954.581745,,
"IND","India","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,6299.036721,,
"IND","India","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,6793.930695,,
"IND","India","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2019","2019","USD","US Dollar","0","Units",,,7201.553849,,
"RUS","Russia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2015","2015","USD","US Dollar","0","Units",,,24085.312853,,
"RUS","Russia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2016","2016","USD","US Dollar","0","Units",,,24128.081806,,
"RUS","Russia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2017","2017","USD","US Dollar","0","Units",,,25926.431403,,
"RUS","Russia","B1_GE","Gross domestic product (expenditure approach)","HCPC","Per head, current prices, current PPPs","2018","2018","USD","US Dollar","0","Units",,,28821.242897,,
